roomid,实际房间
3-101,3-101
3-102,3-102
3-103,3-103
3-104,3-104
3-105,3-105
3-106,3-106
3-107,3-107
3-108,3-108
3-109,3-109
3-111,3-111
3-113,3-113
3-115,3-115
3-201,3-201
3-202,3-202
3-203,3-203
3-204,3-204
3-205,3-205
3-206,3-206
3-207,3-207
3-208,3-208
3-209,3-209
3-210,3-210
3-211,3-211
3-212,3-212
3-213,3-213
3-214,3-214
3-215,3-215
3-216,3-216
3-217,3-217
3-219,3-219
3-221,3-221
3-223,3-223
3-225,3-225
3-227,3-227
3-301,3-301
3-302,3-302
3-303,3-303
3-304,3-304
3-305,3-305
3-306,3-306
3-307,3-307
3-308,3-308
3-309,3-309
3-310,3-310
3-311,3-311
3-312,3-312
3-313,3-313
3-314,3-314
3-315,3-315
3-316,3-316
3-317,3-317
3-319,3-319
3-321,3-321
3-323,3-323
3-325,3-325
3-327,3-327
3-401,3-401
3-402,3-402
3-403,3-403
3-404,3-404
3-405,3-405
3-406,3-406
3-407,3-407
3-408,3-408
3-409,3-409
3-410,3-410
3-411,3-411
3-412,3-412
3-413,3-413
3-414,3-414
3-415,3-415
3-416,3-416
3-417,3-417
3-419,3-419
3-421,3-421
3-423,3-423
3-425,3-425
3-427,3-427
3-501,3-501
3-502,3-502
3-503,3-503
3-504,3-504
3-505,3-505
3-506,3-506
3-507,3-507
3-508,3-508
3-509,3-509
3-510,3-510
3-511,3-511
3-512,3-512
3-513,3-513
3-514,3-514
3-515,3-515
3-516,3-516
3-517,3-517
3-519,3-519
3-521,3-521
3-523,3-523
3-525,3-525
3-527,3-527
3-601,3-601
3-602,3-602
3-603,3-603
3-604,3-604
3-605,3-605
3-606,3-606
3-607,3-607
3-608,3-608
3-609,3-609
3-610,3-610
3-611,3-611
3-612,3-612
3-613,3-613
3-614,3-614
3-615,3-615
3-616,3-616
3-617,3-617
3-619,3-619
3-621,3-621
3-623,3-623
3-625,3-625
3-627,3-627
3-701,3-701
3-702,3-702
3-703,3-703
3-704,3-704
3-705,3-705
3-706,3-706
3-707,3-707
3-708,3-708
3-709,3-709
3-710,3-710
3-711,3-711
3-712,3-712
3-713,3-713
3-714,3-714
3-715,3-715
3-716,3-716
3-717,3-717
3-719,3-719
3-721,3-721
3-723,3-723
3-725,3-725
3-727,3-727
3-801,3-801
3-802,3-802
3-803,3-803
3-804,3-804
3-805,3-805
3-806,3-806
3-807,3-807
3-808,3-808
3-809,3-809
3-810,3-810
3-811,3-811
3-812,3-812
3-813,3-813
3-814,3-814
3-815,3-815
3-816,3-816
3-817,3-817
3-819,3-819
3-821,3-821
3-823,3-823
3-825,3-825
3-827,3-827
3-901,3-901
3-902,3-902
3-903,3-903
3-904,3-904
3-905,3-905
3-906,3-906
3-907,3-907
3-908,3-908
3-909,3-909
3-910,3-910
3-911,3-911
3-912,3-912
3-913,3-913
3-914,3-914
3-915,3-915
3-916,3-916
3-917,3-917
3-919,3-919
3-921,3-921
3-923,3-923
3-925,3-925
3-927,3-927
3-1001,3-1001
3-1002,3-1002
3-1003,3-1003
3-1004,3-1004
3-1005,3-1005
3-1006,3-1006
3-1007,3-1007
3-1008,3-1008
3-1009,3-1009
3-1010,3-1010
3-1011,3-1011
3-1012,3-1012
3-1013,3-1013
3-1014,3-1014
3-1015,3-1015
3-1016,3-1016
3-1017,3-1017
3-1019,3-1019
3-1021,3-1021
3-1023,3-1023
3-1025,3-1025
3-1027,3-1027
3-1101,3-1101
3-1102,3-1102
3-1103,3-1103
3-1104,3-1104
3-1105,3-1105
3-1106,3-1106
3-1107,3-1107
3-1108,3-1108
3-1109,3-1109
3-1110,3-1110
3-1111,3-1111
3-1112,3-1112
3-1113,3-1113
3-1114,3-1114
3-1115,3-1115
3-1116,3-1116
3-1117,3-1117
3-1119,3-1119
3-1121,3-1121
3-1123,3-1123
3-1125,3-1125
3-1127,3-1127
