roomid,实际房间
2-101,2-101
2-102,2-102
2-103,2-103
2-104,2-104
2-105,2-105
2-106,2-106
2-107,2-107
2-108,2-108
2-109,2-109
2-110,2-110
2-111,2-111
2-112,2-112
2-113,2-113
2-114,2-114
2-115,2-115
2-116,2-116
2-117,2-117
2-118,2-118
2-119,2-119
2-121,2-121
2-123,2-123
2-125,2-125
2-201,2-201
2-202,2-202
2-203,2-203
2-204,2-204
2-205,2-205
2-206,2-206
2-207,2-207
2-208,2-208
2-209,2-209
2-210,2-210
2-211,2-211
2-212,2-212
2-213,2-213
2-214,2-214
2-215,2-215
2-216,2-216
2-217,2-217
2-218,2-218
2-219,2-219
2-220,2-220
2-221,2-221
2-222,2-222
2-223,2-223
2-225,2-225
2-227,2-227
2-229,2-229
2-231,2-231
2-233,2-233
2-235,2-235
2-237,2-237
2-301,2-301
2-302,2-302
2-303,2-303
2-304,2-304
2-305,2-305
2-306,2-306
2-307,2-307
2-308,2-308
2-309,2-309
2-310,2-310
2-311,2-311
2-312,2-312
2-313,2-313
2-314,2-314
2-315,2-315
2-316,2-316
2-317,2-317
2-318,2-318
2-319,2-319
2-320,2-320
2-321,2-321
2-322,2-322
2-323,2-323
2-325,2-325
2-327,2-327
2-329,2-329
2-331,2-331
2-333,2-333
2-335,2-335
2-337,2-337
2-401,2-401
2-402,2-402
2-403,2-403
2-404,2-404
2-405,2-405
2-406,2-406
2-407,2-407
2-408,2-408
2-409,2-409
2-410,2-410
2-411,2-411
2-412,2-412
2-413,2-413
2-414,2-414
2-415,2-415
2-416,2-416
2-417,2-417
2-418,2-418
2-419,2-419
2-420,2-420
2-421,2-421
2-422,2-422
2-423,2-423
2-425,2-425
2-427,2-427
2-429,2-429
2-431,2-431
2-433,2-433
2-435,2-435
2-437,2-437
2-501,2-501
2-502,2-502
2-503,2-503
2-504,2-504
2-505,2-505
2-506,2-506
2-507,2-507
2-508,2-508
2-509,2-509
2-510,2-510
2-511,2-511
2-512,2-512
2-513,2-513
2-514,2-514
2-515,2-515
2-516,2-516
2-517,2-517
2-518,2-518
2-519,2-519
2-520,2-520
2-521,2-521
2-522,2-522
2-523,2-523
2-525,2-525
2-527,2-527
2-529,2-529
2-531,2-531
2-533,2-533
2-535,2-535
2-537,2-537
2-601,2-601
2-602,2-602
2-603,2-603
2-604,2-604
2-605,2-605
2-606,2-606
2-607,2-607
2-608,2-608
2-609,2-609
2-610,2-610
2-611,2-611
2-612,2-612
2-613,2-613
2-614,2-614
2-615,2-615
2-616,2-616
2-617,2-617
2-618,2-618
2-619,2-619
2-620,2-620
2-621,2-621
2-622,2-622
2-623,2-623
2-625,2-625
2-627,2-627
2-629,2-629
2-631,2-631
2-633,2-633
2-635,2-635
2-637,2-637
2-701,2-701
2-702,2-702
2-703,2-703
2-704,2-704
2-705,2-705
2-706,2-706
2-707,2-707
2-708,2-708
2-709,2-709
2-710,2-710
2-711,2-711
2-712,2-712
2-713,2-713
2-714,2-714
2-715,2-715
2-716,2-716
2-717,2-717
2-718,2-718
2-719,2-719
2-720,2-720
2-721,2-721
2-722,2-722
2-723,2-723
2-725,2-725
2-727,2-727
2-729,2-729
2-731,2-731
2-733,2-733
2-735,2-735
2-737,2-737
2-801,2-801
2-802,2-802
2-803,2-803
2-804,2-804
2-805,2-805
2-806,2-806
2-807,2-807
2-808,2-808
2-809,2-809
2-810,2-810
2-811,2-811
2-812,2-812
2-813,2-813
2-814,2-814
2-815,2-815
2-816,2-816
2-817,2-817
2-818,2-818
2-819,2-819
2-820,2-820
2-821,2-821
2-822,2-822
2-823,2-823
2-825,2-825
2-827,2-827
2-829,2-829
2-831,2-831
2-833,2-833
2-835,2-835
2-837,2-837
2-901,2-901
2-902,2-902
2-903,2-903
2-904,2-904
2-905,2-905
2-906,2-906
2-907,2-907
2-908,2-908
2-909,2-909
2-910,2-910
2-911,2-911
2-912,2-912
2-913,2-913
2-914,2-914
2-915,2-915
2-916,2-916
2-917,2-917
2-918,2-918
2-919,2-919
2-920,2-920
2-921,2-921
2-922,2-922
2-923,2-923
2-925,2-925
2-927,2-927
2-929,2-929
2-931,2-931
2-933,2-933
2-935,2-935
2-937,2-937
2-1001,2-1001
2-1002,2-1002
2-1003,2-1003
2-1004,2-1004
2-1005,2-1005
2-1006,2-1006
2-1007,2-1007
2-1008,2-1008
2-1009,2-1009
2-1010,2-1010
2-1011,2-1011
2-1012,2-1012
2-1013,2-1013
2-1014,2-1014
2-1015,2-1015
2-1016,2-1016
2-1017,2-1017
2-1018,2-1018
2-1019,2-1019
2-1020,2-1020
2-1021,2-1021
2-1022,2-1022
2-1023,2-1023
2-1025,2-1025
2-1027,2-1027
2-1029,2-1029
2-1031,2-1031
2-1033,2-1033
2-1035,2-1035
2-1037,2-1037
2-1101,2-1101
2-1102,2-1102
2-1103,2-1103
2-1104,2-1104
2-1105,2-1105
2-1106,2-1106
2-1107,2-1107
2-1108,2-1108
2-1109,2-1109
2-1110,2-1110
2-1111,2-1111
2-1112,2-1112
2-1113,2-1113
2-1114,2-1114
2-1115,2-1115
2-1116,2-1116
2-1117,2-1117
2-1118,2-1118
2-1119,2-1119
2-1120,2-1120
2-1121,2-1121
2-1122,2-1122
2-1123,2-1123
2-1125,2-1125
2-1127,2-1127
2-1129,2-1129
2-1131,2-1131
2-1133,2-1133
2-1135,2-1135
2-1137,2-1137
