roomid,实际房间
1846,5-115
1847,5-117
1848,5-118
1849,5-119
1850,5-120
1851,5-121
1852,5-123
1853,5-125
1854,5-127
1855,5-129
1856,5-131
1857,5-133
1858,5-134
1859,5-135
1860,5-136
1862,5-201
1863,5-202
1864,5-203
1865,5-204
1866,5-205
1867,5-206
1868,5-207
1869,5-209
1870,5-211
1871,5-213
1872,5-214
1873,5-215
1874,5-216
1875,5-217
1876,5-218
1877,5-219
1878,5-220
1879,5-221
1880,5-222
1881,5-223
1882,5-225
1883,5-227
1884,5-229
1885,5-231
1886,5-233
1887,5-235
1888,5-236
1889,5-238
1891,5-301
1892,5-302
1893,5-303
1894,5-304
1895,5-305
1896,5-306
1897,5-307
1898,5-309
1899,5-311
1900,5-313
1901,5-314
1902,5-315
1903,5-316
1904,5-317
1905,5-318
1906,5-319
1907,5-320
1908,5-321
1909,5-322
1910,5-323
1911,5-325
1912,5-327
1913,5-329
1914,5-331
1915,5-333
1916,5-335
1917,5-336
1918,5-338
1920,5-401
1921,5-402
1922,5-403
1923,5-404
1924,5-405
1925,5-406
1926,5-407
1927,5-409
1928,5-411
1929,5-413
1930,5-414
1931,5-415
1932,5-416
1933,5-417
1934,5-418
1935,5-419
1936,5-420
1937,5-421
1938,5-422
1939,5-423
1940,5-425
1941,5-427
1942,5-429
1943,5-431
1944,5-433
1945,5-435
1946,5-436
1947,5-438
1949,5-501
1950,5-502
1951,5-503
1952,5-504
1953,5-505
1954,5-506
1955,5-507
1956,5-509
1957,5-511
1958,5-513
1959,5-514
1960,5-515
1961,5-516
1962,5-517
1963,5-518
1964,5-519
1965,5-520
1966,5-521
1967,5-522
1968,5-523
1969,5-525
1970,5-527
1971,5-529
1972,5-531
1973,5-533
1974,5-535
1975,5-536
1976,5-538
1978,5-601
1979,5-602
1980,5-603
1981,5-604
1982,5-605
1983,5-606
1984,5-607
1985,5-609
1986,5-611
1987,5-613
1988,5-614
1989,5-615
1990,5-616
1991,5-617
1992,5-618
1993,5-619
1994,5-620
1995,5-621
1996,5-622
1997,5-623
1998,5-625
1999,5-627
2000,5-629
2001,5-631
2002,5-633
2003,5-635
2004,5-636
2005,5-638
2007,5-701
2008,5-702
2009,5-703
2010,5-704
2011,5-705
2012,5-706
2013,5-707
2014,5-709
2015,5-711
2016,5-713
2017,5-714
2018,5-715
2019,5-716
2020,5-717
2021,5-718
2022,5-719
2023,5-720
2024,5-721
2025,5-722
2026,5-723
2027,5-725
2028,5-727
2029,5-729
2030,5-731
2031,5-733
2032,5-735
2033,5-736
2034,5-738
2036,5-801
2037,5-802
2038,5-803
2039,5-804
2040,5-805
2041,5-806
2042,5-807
2043,5-809
2044,5-811
2045,5-813
2046,5-814
2047,5-815
