roomid,实际房间
2298,6-115
2299,6-117
2300,6-118
2301,6-119
2302,6-120
2303,6-121
2304,6-123
2305,6-125
2306,6-127
2307,6-129
2308,6-131
2309,6-133
2310,6-134水控机房
2311,6-135
2312,6-136
2314,6-201
2315,6-202
2316,6-203
2317,6-204
2318,6-205
2319,6-207
2320,6-209
2321,6-211
2322,6-212
2323,6-213
2324,6-214
2325,6-215
2326,6-216
2327,6-217
2328,6-218
2329,6-219
2330,6-220
2331,6-221
2332,6-222
2333,6-223
2334,6-225
2335,6-227
2336,6-229
2337,6-231
2338,6-233
2339,6-235
2340,6-236
2341,6-238
2343,6-301
2344,6-302
2345,6-303
2346,6-304
2347,6-305
2348,6-307
2349,6-309
2350,6-311
2351,6-312
2352,6-313
2353,6-314
2354,6-315
2355,6-316
2356,6-317
2357,6-318
2358,6-319
2359,6-320
2360,6-321
2361,6-322
2362,6-323
2363,6-325
2364,6-327
2365,6-329
2366,6-331
2367,6-333
2368,6-335
2369,6-336
2370,6-338
2372,6-401
2373,6-402
2374,6-403
2375,6-404
2376,6-405
2377,6-407
2378,6-409
2379,6-411
2380,6-412
2381,6-413
2382,6-414
2383,6-415
2384,6-416
2385,6-417
2386,6-418
2387,6-419
2388,6-420
2389,6-421
2390,6-422
2391,6-423
2392,6-425
2393,6-427
2394,6-429
2395,6-431
2396,6-433
2397,6-435
2398,6-436
2399,6-438
2401,6-501
2402,6-502
2403,6-503
2404,6-504
2405,6-505
2406,6-507
2407,6-509
2408,6-511
2409,6-512
2410,6-513
2411,6-514
2412,6-515
2413,6-516
2414,6-517
2415,6-518
2416,6-519
2417,6-520
2418,6-521
2419,6-522
2420,6-523
2421,6-525
2422,6-527
2423,6-529
2424,6-531
2425,6-533
2426,6-535
2427,6-536
2428,6-538
2430,6-601
2431,6-602
2432,6-603
2433,6-604
2434,6-605
2435,6-607
2436,6-609
2437,6-611
2438,6-612
2439,6-613
2440,6-614
2441,6-615
2442,6-616
2443,6-617
2444,6-618
2445,6-619
2446,6-620
2447,6-621
2448,6-622
2449,6-623
2450,6-625
2451,6-627
2452,6-629
2453,6-631
2454,6-633
2455,6-635
2456,6-636
2457,6-638
2459,6-701
2460,6-702
2461,6-703
2462,6-704
2463,6-705
2464,6-707
2465,6-709
2466,6-711
2467,6-712
2468,6-713
2469,6-714
2470,6-715
2471,6-716
2472,6-717
2473,6-718
2474,6-719
2475,6-720
2476,6-721
2477,6-722
2478,6-723
2479,6-725
2480,6-727
2481,6-729
2482,6-731
2483,6-733
2484,6-735
2485,6-736
2486,6-738
2488,6-801
2489,6-802
2490,6-803
2491,6-804
2492,6-805
2493,6-807
2494,6-809
2495,6-811
2496,6-812
2497,6-813
2498,6-814
2499,6-815
2500,6-816
2501,6-817
2502,6-818
2503,6-819
2504,6-820
2505,6-821
2506,6-822
2507,6-823
2508,6-825
2509,6-827
2510,6-829
2511,6-831
2512,6-833
2513,6-835
2514,6-836
2515,6-838
2517,6-901
2518,6-902
2519,6-903
2520,6-904
2521,6-905
2522,6-907
2523,6-909
2524,6-911
2525,6-912
2526,6-913
2527,6-914
2528,6-915
2529,6-916
2530,6-917
2531,6-918
2532,6-919
2533,6-920
2534,6-921
2535,6-922
2536,6-923
2537,6-925
2538,6-927
2539,6-929
2540,6-931
2541,6-933
2542,6-935
2543,6-936
2544,6-938
2546,6-1001
2547,6-1002
2548,6-1003
2549,6-1004
2550,6-1005
2551,6-1007
2552,6-1009
2553,6-1011
2554,6-1012
2555,6-1013
2556,6-1014
2557,6-1015
2558,6-1016
2559,6-1017
2560,6-1018
2561,6-1019
2562,6-1020
2563,6-1021
2564,6-1022
2565,6-1023
2566,6-1025
2567,6-1027
2568,6-1029
2569,6-1031
2570,6-1033
2571,6-1035
2572,6-1036
2573,6-1038
2575,6-1101
2576,6-1102
2577,6-1103
2578,6-1104
2579,6-1105
2580,6-1107
2581,6-1109
2582,6-1111
2583,6-1112
2584,6-1113
2585,6-1114
2586,6-1115
2587,6-1116
2588,6-1117
2589,6-1118
2590,6-1119
2591,6-1120
2592,6-1121
2593,6-1122
2594,6-1123
2595,6-1125
2596,6-1127
2597,6-1129
2598,6-1131
2599,6-1133
2600,6-1135
2601,6-1136
2602,6-1138
2604,6-1201
2605,6-1202
2606,6-1203
2607,6-1204
2608,6-1205
2609,6-1207
2610,6-1209
2611,6-1211
2612,6-1212
2613,6-1213
2614,6-1214
2615,6-1215
2616,6-1216
2617,6-1217
2618,6-1218
2619,6-1219
2620,6-1220
2621,6-1221
2622,6-1222
2623,6-1223
2624,6-1225
2625,6-1227
2626,6-1229
2627,6-1231
2628,6-1233
2629,6-1235
2630,6-1236
2631,6-1238
2633,6-1301
2634,6-1302
2635,6-1303
2636,6-1304
2637,6-1305
2638,6-1307
2639,6-1309
2640,6-1311
2641,6-1312
2642,6-1313
2643,6-1314
2644,6-1315
2645,6-1316
2646,6-1317
2647,6-1318
2648,6-1319
2649,6-1320
2650,6-1321
2651,6-1322
2652,6-1323
2653,6-1325
2654,6-1327
2655,6-1329
2656,6-1331
2657,6-1333
2658,6-1335
2659,6-1336
2660,6-1338
2662,6-1401
2663,6-1402
2664,6-1403
2665,6-1404
2666,6-1405
2667,6-1407
2668,6-1409
2669,6-1411
2670,6-1412
2671,6-1413
2672,6-1414
2673,6-1415
2674,6-1416
2675,6-1417
2676,6-1418
2677,6-1419
2678,6-1420
2679,6-1421
2680,6-1422
2681,6-1423
2682,6-1425
2683,6-1427
2684,6-1429
2685,6-1431
2686,6-1433
2687,6-1435
2688,6-1436
2689,6-1438
2691,6-1501
2692,6-1502
2693,6-1503
2694,6-1504
2695,6-1505
2696,6-1507
2697,6-1509
2698,6-1511
2699,6-1512
2700,6-1513
2701,6-1514
2702,6-1515
2703,6-1516
2704,6-1517
2705,6-1518
2706,6-1519
2707,6-1520
2708,6-1521
2709,6-1522
2710,6-1523
2711,6-1525
2712,6-1527
2713,6-1529
2714,6-1531
2715,6-1533
2716,6-1535
2717,6-1536
2718,6-1538
2720,6-1601
2721,6-1602
2722,6-1603
2723,6-1604
2724,6-1605
2725,6-1607
2726,6-1609
2727,6-1611
2728,6-1612
2729,6-1613
2730,6-1614
2731,6-1615
2732,6-1616
2733,6-1617
2734,6-1618
2735,6-1619
2736,6-1620
2737,6-1621
2738,6-1622
2739,6-1623
2740,6-1625
2741,6-1627
2742,6-1629
2743,6-1631
2744,6-1633
2745,6-1635
2746,6-1636
2747,6-1638
