roomid,实际房间
1393,4-101
1394,4-115
1395,4-117
1396,4-118
1397,4-119
1398,4-120
1399,4-121
1400,4-123
1401,4-125
1402,4-127
1403,4-129
1404,4-131
1405,4-133
1406,4-134
1407,4-135
1408,4-136
1410,4-201
1411,4-202
1412,4-203
1413,4-204
1414,4-205
1415,4-206
1416,4-207
1417,4-209
1418,4-211
1419,4-213
1420,4-214
1421,4-215
1422,4-216
1423,4-217
1424,4-218
1425,4-219
1426,4-220
1427,4-221
1428,4-222
1429,4-223
1430,4-225
1431,4-227
1432,4-229
1433,4-231
1434,4-233
1435,4-235
1436,4-236
1437,4-238
1439,4-301
1440,4-302
1441,4-303
1442,4-304
1443,4-305
1444,4-306
1445,4-307
1446,4-309
1447,4-311
1448,4-313
1449,4-314
1450,4-315
1451,4-316
1452,4-317
1453,4-318
1454,4-319
1455,4-320
1456,4-321
1457,4-322
1458,4-323
1459,4-325
1460,4-327
1461,4-329
1462,4-331
1463,4-333
1464,4-335
1465,4-336
1466,4-338
1468,4-401
1469,4-402
1470,4-403
1471,4-404
1472,4-405
1473,4-406
1474,4-407
1475,4-409
1476,4-411
1477,4-413
1478,4-414
1479,4-415
1480,4-416
1481,4-417
1482,4-418
1483,4-419
1484,4-420
1485,4-421
1486,4-422
1487,4-423
1488,4-425
1489,4-427
1490,4-429
1491,4-431
1492,4-433
1493,4-435
1494,4-436
1495,4-438
1497,4-501
1498,4-502
1499,4-503
1500,4-504
1501,4-505
1502,4-506
1503,4-507
1504,4-509
1505,4-511
1506,4-513
1507,4-514
1508,4-515
1509,4-516
1510,4-517
1511,4-518
1512,4-519
1513,4-520
1514,4-521
1515,4-522
1516,4-523
1517,4-525
1518,4-527
1519,4-529
1520,4-531
1521,4-533
1522,4-535
1523,4-536
1524,4-538
1526,4-601
1527,4-602
1528,4-603
1529,4-604
1530,4-605
1531,4-606
1532,4-607
1533,4-609
1534,4-611
1535,4-613
1536,4-614
1537,4-615
1538,4-616
1539,4-617
1540,4-618
1541,4-619
1542,4-620
1543,4-621
1544,4-622
1545,4-623
1546,4-625
1547,4-627
1548,4-629
1549,4-631
1550,4-633
1551,4-635
1552,4-636
1553,4-638
1555,4-701
1556,4-702
1557,4-703
1558,4-704
1559,4-705
1560,4-706
1561,4-707
1562,4-709
1563,4-711
1564,4-713
1565,4-714
1566,4-715
1567,4-716
1568,4-717
1569,4-718
1570,4-719
1571,4-720
1572,4-721
1573,4-722
1574,4-723
1575,4-725
1576,4-727
1577,4-729
1578,4-731
1579,4-733
1580,4-735
1581,4-736
1582,4-738
1584,4-801
1585,4-802
1586,4-803
1587,4-804
1588,4-805
1589,4-806
1590,4-807
1591,4-809
1592,4-811
1593,4-813
1594,4-814
1595,4-815
1596,4-816
1597,4-817
1598,4-818
1599,4-819
1600,4-820
1601,4-821
1602,4-822
1603,4-823
1604,4-825
1605,4-827
1606,4-829
1607,4-831
1608,4-833
1609,4-835
1610,4-836
1611,4-838
1613,4-901
1614,4-902
1615,4-903
1616,4-904
1617,4-905
1618,4-906
1619,4-907
1620,4-909
1621,4-911
1622,4-913
1623,4-914
1624,4-915
1625,4-916
1626,4-917
1627,4-918
1628,4-919
1629,4-920
1630,4-921
1631,4-922
1632,4-923
1633,4-925
1634,4-927
1635,4-929
1636,4-931
1637,4-933
1638,4-935
1639,4-936
1640,4-938
1642,4-1001
1643,4-1002
1644,4-1003
1645,4-1004
1646,4-1005
1647,4-1006
1648,4-1007
1649,4-1009
1650,4-1011
1651,4-1013
1652,4-1014
1653,4-1015
1654,4-1016
1655,4-1017
1656,4-1018
1657,4-1019
1658,4-1020
1659,4-1021
1660,4-1022
1661,4-1023
1662,4-1025
1663,4-1027
1664,4-1029
1665,4-1031
1666,4-1033
1667,4-1035
1668,4-1036
1669,4-1038
1671,4-1101
1672,4-1102
1673,4-1103
1674,4-1104
1675,4-1105
1676,4-1106
1677,4-1107
1678,4-1109
1679,4-1111
1680,4-1113
1681,4-1114
1682,4-1115
